供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
帝豪旗舰店,威海人生 小儿解表口服液,威海人生药业有限公司,25.00,2020-08-31,10ml*6支,2608
帝豪旗舰店,麥科特 清热散结片,广东省惠州市中药厂有限公司,4.05,2020-11-30,48片,63100
帝豪旗舰店,迪巧 维D钙咀嚼片,美国安士制药有限公司,81.00,2021-06-19,120片,359
帝豪旗舰店,湛江吉民 麝香追风膏,广东湛江吉民药业股份有限公司,6.00,2021-11-30,8片,28314
帝豪旗舰店,派瑞松 曲安奈德益康唑乳膏,西安杨森制药有限公司,20.20,2020-10-31,15g,0
帝豪旗舰店,理洫王 血塞通软胶囊,昆明华润圣火药业有限公司,27.33,2021-11-26,0.33g*24粒,23130
帝豪旗舰店,桂林裕民 蛇胆川贝液,桂林裕民制药有限公司,5.45,2020-04-30,10ml*6支,7186
帝豪旗舰店,拜复乐 盐酸莫西沙星片,拜耳医药保健有限公司,92.50,2021-07-11,400mg*3片,22823
帝豪旗舰店,王老吉 三公仔 小儿七星茶颗粒,广州王老吉药业股份有限公司,13.80,2021-10-30,7g*10袋,100211
帝豪旗舰店,嘉应 双料喉风散,广东嘉应制药股份有限公司,9.68,2022-07-31,2.2g,94888
帝豪旗舰店,伊泰青 厄贝沙坦胶囊,珠海润都制药股份有限公司,15.90,2021-10-31,0.15g*7s,12918
帝豪旗舰店,白云山 口炎清颗粒,广州白云山和记黄埔中药有限公司,14.80,2020-08-31,10g*10袋,9519
帝豪旗舰店,皮康王 复方酮康唑软膏,滇虹药业集团股份有限公司,8.00,2021-01-10,7g,33524
帝豪旗舰店,贵州百灵 维C银翘片,贵州百灵企业集团制药股份有限公司,1.55,2020-06-07,18片,33790
帝豪旗舰店,美林 布洛芬混悬滴剂,上海强生制药有限公司,22.50,2021-06-30,20ml,21039
帝豪旗舰店,圣通平 硝苯地平缓释片,国药集团广东环球制药有限公司,25.74,2020-05-14,10mg*90片,0
帝豪旗舰店,同仁堂 六味地黄丸,北京同仁堂科技发展股份有限公司制药厂,14.00,2021-12-31,120丸,19989
帝豪旗舰店,白云山 克霉唑溶液,广州白云山制药股份有限公司白云山何济公制药厂,2.81,2020-10-31,8ml,5734
帝豪旗舰店,厦门虎标 虎标万金油,厦门虎标医药有限公司,19.71,2022-07-31,19.4g,18795
帝豪旗舰店,浙江鼎泰 复方酮康唑软膏,浙江鼎泰药业股份有限公司,3.20,2020-12-31,7g,33463
帝豪旗舰店,白云山 感冒灵颗粒,广州白云山和记黄埔中药有限公司,8.50,2020-10-30,10g*9袋,14488
帝豪旗舰店,新乐敦 复方门冬维甘滴眼液,曼秀雷敦(中国)药业有限公司,23.62,2021-11-30,13ml,22586
帝豪旗舰店,济民 感冒灵颗粒,广西济民制药有限公司,6.01,2020-12-31,10g*9袋,94446
帝豪旗舰店,圣通平 硝苯地平缓释片,国药集团广东环球制药有限公司,14.35,2020-05-06,10mg*45片,17572
帝豪旗舰店,山东鑫齐 铝碳酸镁咀嚼片,山东鑫齐药业有限公司,3.47,2021-01-31,0.5g*8片*2板,26603
帝豪旗舰店,潘高寿 治咳川贝枇杷露,广州白云山潘高寿药业股份有限公司,13.50,2020-11-30,150ml,15458
帝豪旗舰店,贵州三力 开喉剑喷雾剂(儿童型),贵州三力制药股份有限公司,27.14,2020-08-29,15ml,30062
帝豪旗舰店,尤诺 苯溴马隆片,常州康普药业有限公司,14.00,2021-09-30,50mg*10片,1149
帝豪旗舰店,迪瑞 氯霉素滴眼液,长春迪瑞制药有限公司,1.70,2019-12-19,8ml:20mg,44765
帝豪旗舰店,夏桑菊颗粒,广州白云山星群(药业)股份有限公司,31.36,2021-04-30,3克*20袋/包(无蔗糖）,127
帝豪旗舰店,三七,广州市健桥惠泽药业有限公司,47.50, ,100g/瓶,238
帝豪旗舰店,郑州益圣 百合固金片,广东万方制药有限公司,6.80,2021-01-31,0.45g*30片,28801
帝豪旗舰店,鹅城 腹可安片,广东省惠州市中药厂有限公司,1.08,2020-12-31,24片,53246
帝豪旗舰店,毓婷 左炔诺孕酮片,华润紫竹药业有限公司,16.40,2023-11-27,1.5mg*1片,0
帝豪旗舰店,希舒美 阿奇霉素干混悬剂,辉瑞制药有限公司,36.50,2023-09-30,0.1g*6袋,54264
